,aspects_AVN,emotions
5263,,
5264,,
5265,,
5266,"able say sentence, next mentioned contain",Angry
5267,,
5268,mine hungering girl,Surprise
5269,,
5270,"comedian treated rock, funny ending writer",Surprise
5271,usual annoying minute,Sad
5272,,
5273,,
5274,,
5275,,
5276,,
5277,,
5278,,
5279,,
5280,,
5281,,
5282,huge make forget,Angry
5283,scary created maxim,
5284,,
5285,,
5286,exploitative screwed filmmaker,
5287,nazi kept dark,Sad
5288,unanswered hanging garden,
5289,obvious offspring fortesque,
5290,,
5291,,
5292,ridiculous ending fact,Fear
5293,,
5294,,
5295,non stop thriller,
5296,"free guessed cashier, funny getting ticket",Surprise
5297,,
5298,"gorgeous enjoyed performance, sure believed script",Happy
5299,"ian garbled mess, bad killing edge",Angry
5300,,
5301,,
5302,mathematician promising wipe,Sad
5303,,
5304,,
5305,,
5306,,
5307,,
5308,,
5309,,
5310,,
5311,,
5312,credible thinking person,Surprise
5313,,
5314,,
5315,,
5316,,
5317,,
5318,,
5319,,
5320,,
5321,"free thinking saw, high married turn, build humiliating argument, anxious spend money",Surprise
5322,,
5323,free roaming ability,
5324,deep voiced point,Surprise
5325,,
5326,relentless growing tension,
5327,"angle cutting edge, overall recommend anyone",Sad
5328,"theatrical acting style, perfect ending preachy",Fear
5329,,
5330,bad acting ok,
5331,awful find word,Angry
5332,,
5333,,
5334,,
5335,,
5336,le satisfying movie,
5337,,
5338,powerful mirrored bedroom,
5339,,
5340,,
5341,,
5342,,
5343,"ha sent track, choose rejecting closing",Happy
5344,sick seeing screen,
5345,self respecting folk,Happy
5346,,
5347,"bad made tv, incoherent staged climax, smart lipped line, basic sketching director",Surprise
5348,,
5349,innocent caught post,
5350,,
5351,,
5352,,
5353,german wearing weapon,
5354,,
5355,sure get lot,Sad
5356,"fabulous expected lot, fine directing script",Happy
5357,dangerous bored film,Sad
5358,,
5359,inept made pay,Sad
5360,ridiculous taken comedy,Surprise
5361,"old fashioned sense, small telling detail, worth seeing fact",Sad
5362,,
5363,weak acting substandard,Fear
5364,,
5365,"fuzzy broke time, apparent opening credit",Fear
5366,close shave death,Fear
5367,powerful moving picture,
5368,sure put word,Angry
5369,"uplifted seeing movie, great feeling eye, daily living agonizing, different varying example, wild looking street",Sad
5370,,
5371,,
5372,red illuminated kill,Surprise
5373,light hearted comedy,
5374,,
5375,mean burning church,Surprise
5376,hilarious advanced seriousness,Fear
5377,fit becoming building,Fear
5378,direct finished product,
5379,,
5380,noisy annoying fit,Happy
5381,woodcock played eddy,Fear
5382,,
5383,enhanced drawing computer,Fear
5384,,
5385,,
5386,,
5387,artistic reserved performance,Fear
5388,,
5389,,
5390,u trying watch,Surprise
5391,,
5392,initial viewing kept,
5393,old looking reprise,
5394,,
5395,thin proved case,Fear
5396,,
5397,,
5398,,
5399,,
5400,"many error credit, vietnam take cake",Sad
5401,,
5402,unnecessary washing powder,Fear
5403,,
5404,,
5405,wonderful including womanizer,
5406,hard say misunderstood,Surprise
5407,great lighting amazing,Surprise
5408,,
5409,"full dazzling sequence, wall emphasize separation",Surprise
5410,,
5411,,
5412,,
5413,wrong get idea,
5414,shot coming age,Angry
5415,insight make character,Sad
5416,clambered foaming pool,Fear
5417,likely find room,Fear
5418,,
5419,"thirteen plunging death, long grieving scene",Fear
5420,scary give wish,Fear
5421,,
5422,"come looking wife, hole leave peace",
5423,weak writing performance,
5424,important supporting character,Fear
5425,"big bellied street, cabrito hanging butcher",Sad
5426,,
5427,,
5428,,
5429,,
5430,,
5431,,
5432,first saw kid,Happy
5433,psychotic chosen men,
5434,,
5435,second dropped rating,
5436,great annoying character,Sad
5437,second fiddling power,Angry
5438,documentary moving story,
5439,"crazy got guerrilla, hassan occupying troop",Happy
5440,sure going verge,Fear
5441,,
5442,,
5443,"questionable ending technicality, commendable portrayed cute",Happy
5444,"queen eating doggie, short pushing name",Fear
5445,loose lapping scene,
5446,,
5447,full sophisticated weapon,Fear
5448,,
5449,,
5450,,
5451,organizational talked lot,Sad
5452,,
5453,,
5454,,
5455,,
5456,"old fashioned deer, shotgun killing horror",Surprise
5457,,
5458,"great bumbling jan, comedic setting movie",Fear
5459,dead ending god,Surprise
5460,"compose love letter, real heartbreaking trial",Happy
5461,,
5462,,
5463,sheen acting hand,
5464,,
5465,,
5466,big go room,Fear
5467,,
5468,open burned hand,Sad
5469,,
5470,harsh thought kirsten,Surprise
5471,,
5472,"pompous disgusting pig, unlikeable leading men",Sad
5473,,
5474,u see eye,
5475,know look people,
5476,,
5477,,
5478,stylish opening generate,Fear
5479,,
5480,,
5481,worth talking movie,
5482,,
5483,,
5484,beautiful telling peculiarity,Sad
5485,"black agreed film, alright take review",
5486,,
5487,,
5488,,
5489,,
5490,,
5491,"interesting look example, poor acting pace",Surprise
5492,,
5493,ok love shannen,Happy
5494,,
5495,,
5496,hard find dammage,
5497,"flat keep dialog, necessary make quality, eccentric unnerving score",Sad
5498,,
5499,,
5500,cheese made rancid,Angry
5501,"conditioned watching junk, awful considering play",Surprise
5502,much sought future,
5503,horrible acting dragon,
5504,,
5505,willing suspend disbelief,Fear
5506,,
5507,desired considering role,Sad
5508,"figure think reason, medical trying circumstance",Surprise
5509,,
5510,,
5511,,
5512,witnessed survived karloff,
5513,ridiculous watching buying,Surprise
5514,"exaggerated stereotyped character, learned grew generation",Fear
5515,live appreciated wow,Happy
5516,,
5517,thank showing piece,
5518,usual say plot,Surprise
5519,"u supposed pay, interested deconstructing education",Fear
5520,,
5521,,
5522,,
5523,"necessary putting film, original imposed interpretation, agree ruined character",Sad
5524,"outstanding acting story, italian setting haunting, unforgettable viewing experience",Fear
5525,delightful entertaining host,
5526,bad acting story,
5527,paranoid seeing convince,
5528,external including b,
5529,"paramedic come help, guy dumping ton",Surprise
5530,"appetite trying fulfill, achieve desired pepper",Happy
5531,,
5532,"interesting known nothing, romantic angle character",Fear
5533,funny failed count,Fear
5534,buck take home,Sad
5535,"know start story, second take hitcher, obvious trying look",
5536,,
5537,"naturalistic setting everyone, shot confined location",Fear
5538,"norman annoying wan, scary exiting anything",Sad
5539,"sure take journey, bugger recommend anyone",
5540,,
5541,,
5542,,
5543,terrible take advice,
5544,"mean dancing thousand, sit developing story",Fear
5545,"fat beginning leader, good seen house",
5546,shot thought wa,Surprise
5547,,
5548,,
5549,poor writing dialog,Sad
5550,"spooky building ex, flashlight crumbling room, mysterious going zzzzzzz",Fear
5551,achievement talking film,
5552,bad acting madonna,
5553,whole stand drama,Fear
5554,,
5555,meant keep stone,Surprise
5556,,
5557,dramatic entertaining keep,
5558,female stretching point,Surprise
5559,terrible want watch,Surprise
5560,,
5561,,
5562,clichéd lacking subtlety,
5563,describe gleaming magnificence,
5564,"tread made city, wrong done farmer, beautiful living label",Sad
5565,,
5566,,
5567,tom spying neighbor,
5568,,
5569,sexual tossed character,Sad
5570,wish come dvd,
5571,,
5572,,
5573,infant dying mother,Fear
5574,ordinary married woman,
5575,whole exploding victim,
5576,,
5577,natural born killer,Sad
5578,,
5579,subject broken home,Surprise
5580,,
5581,"u shaking laughter, non stop laugh, comic provided paisa",
5582,,
5583,dagger hunting pack,Surprise
5584,,
5585,"costume make look, whole take place",Sad
5586,"overall done opinion, penchant dominating woman",
5587,,
5588,"incapable showing emotion, boring annoying hand",Sad
5589,,
5590,entertaining compared age,Angry
5591,,
5592,"amiable entertaining comedy, remorseful taking trust",Surprise
5593,,
5594,,
5595,wait spend money,
5596,"uncle take money, idyllic painting man, able see hour",
5597,,
5598,original played vivien,Fear
5599,handful supporting character,Fear
5600,,
5601,,
5602,,
5603,,
5604,,
5605,extreme beginning puck,
5606,,
5607,,
5608,,
5609,,
5610,,
5611,"um saying stuff, green entertaining devon",Angry
5612,,
5613,whole told series,Sad
5614,asleep trying watch,Surprise
5615,,
5616,,
5617,slow moving cup,
5618,subject need pay,
5619,,
5620,,
5621,"massacre setting scene, drive driven scout",Fear
5622,,
5623,,
5624,,
5625,,
5626,"local acting wa, good lighting portion",
5627,,
5628,thought provoking cinema,Angry
5629,slow moving hour,
5630,climatic ending get,Fear
5631,"actor attempting look, american captured camera",Happy
5632,overall enjoyed hope,Happy
5633,,
5634,safe hiding place,Angry
5635,,
5636,,
5637,,
5638,many add nothing,Sad
5639,,
5640,"dietrich come apartment, detective wilfred smith",
5641,,
5642,,
5643,difficult written role,
5644,,
5645,,
5646,illogical ending countermand,Fear
5647,,
5648,,
5649,,
5650,,
5651,,
5652,,
5653,alamo feeling character,Fear
5654,,
5655,rational contradicted anyone,
5656,important watching series,Surprise
5657,unattractive leading child,
5658,,
5659,absurd classify anyone,
5660,accurate concerning dr,Sad
5661,thin watched wife,Surprise
5662,zany filled billie,Fear
5663,,
5664,,
5665,,
5666,,
5667,,
5668,,
5669,,
5670,,
5671,,
5672,,
5673,,
5674,loud figured engineer,Fear
5675,,
5676,enjoy meeting celebs,
5677,palpatine answer phone,
5678,empty remember felt,Sad
5679,"vsevolod amazing eye, wide breathtaking way",Surprise
5680,good trained reason,Sad
5681,,
5682,,
5683,secret cave beneath,
5684,felt need strip,
5685,,
5686,white included score,Angry
5687,,
5688,,
5689,,
5690,,
5691,,
5692,angry watching block,Surprise
5693,,
5694,,
5695,,
5696,"individual given parameter, grim bared point, low supporting role, runaway wondering street",Surprise
5697,,
5698,,
5699,,
5700,,
5701,,
5702,,
5703,,
5704,important supporting actor,
5705,many follow ups,
5706,,
5707,,
5708,,
5709,,
5710,narrowmindedness come forget,Angry
5711,,
5712,,
5713,intelligent written opinion,
5714,keep staying reference,Angry
5715,,
5716,,
5717,"beautiful moving ballad, short lived course",
5718,calm relaxed john,Fear
5719,bad say preity,Surprise
5720,classic vandalized wonder,Surprise
5721,,
5722,,
5723,,
5724,,
5725,,
5726,,
5727,gritty beguiling actor,Happy
5728,,
5729,u take love,Happy
5730,patricia supporting chubby,
5731,,
5732,,
5733,,
5734,america rest continental,
5735,"possible established book, capable shown victim",Fear
5736,,
5737,,
5738,,
5739,"back think chip, farfetched talking movie, solid acting sub",Surprise
5740,,
5741,wish saved wife,
5742,dead say congrats,Surprise
5743,,
5744,many love waste,Happy
5745,"british make bollywood, guy played al",Sad
5746,"u flawed issue, great touching moment",Sad
5747,playwright take note,
5748,pain watching horrific,Surprise
5749,,
5750,"original moving story, great supporting cast",
5751,astrobiologist calling shot,
5752,,
5753,,
5754,,
5755,lead playing man,Fear
5756,"uninspired made television, formulaic baked war, doctor england treat",Surprise
5757,grown moving sense,
5758,"close cracking smile, punched thanked god",Happy
5759,,
5760,"erm ramming track, nice tying train",
5761,"complex peak life, weak acting doe",Fear
5762,,
5763,,
5764,popcorn expect anything,Happy
5765,full sparking fun,Happy
5766,,
5767,black pain rate,Fear
5768,short bought collection,
5769,,
5770,"rough going term, tragic committed suicide",Fear
5771,,
5772,,
5773,,
5774,great supporting player,
5775,doe require audience,
5776,forward seeing sequel,
5777,stuck dwindling group,Surprise
5778,little ending contrast,Fear
5779,,
5780,unrealistic labeled fantasy,
5781,,
5782,uneven ranging clever,
5783,,
5784,,
5785,"interesting looking cover, victim turning innocent",Surprise
5786,snow tree fall,
5787,impact overshadowed production,
5788,erotic believe movie,
5789,,
5790,open put video,Sad
5791,,
5792,great told teen,Angry
5793,realistic walking let,Sad
5794,low brained feature,
5795,,
5796,"recent passing ismail, tiny sent linda",Fear
5797,,
5798,nt think anything,Surprise
5799,"scorsese raging bull, challenge filming feature",Angry
5800,many scratching head,Fear
5801,burglar try befriends,
5802,ha running imagination,Fear
5803,funny coming complain,Surprise
5804,,
5805,roof wrote letter,
5806,,
5807,,
5808,heavy constructed story,Fear
5809,,
5810,,
5811,,
5812,"dismal make tongue, white faced spiky",Angry
5813,,
5814,,
5815,,
5816,,
5817,,
5818,,
5819,meaningless inventing show,
5820,,
5821,,
5822,"inescapable revolving door, excellent acting jim",
5823,,
5824,"sad eyed girl, benign homecoming try, dorothy sitting bench",Surprise
5825,police believe theory,
5826,minor entertaining wa,
5827,,
5828,,
5829,mic built camera,Fear
5830,"tried make hollywood, first take humor",Sad
5831,,
5832,,
5833,"happy ending fade, roommate foreboding think",Surprise
5834,,
5835,,
5836,,
5837,,
5838,award winning performance,
5839,impressive happening background,
5840,,
5841,,
5842,"natural expect product, enjoy end result, guilty charged grade",Happy
5843,,
5844,,
5845,underrated recommended genre,
5846,"many aspect personality, represent trying analyze",Fear
5847,,
5848,"stay watching plot, stead get nothing",Surprise
5849,,
5850,,
5851,curious remember experience,
5852,,
5853,,
5854,difficult follow plot,
5855,funny saw month,
5856,,
5857,,
5858,,
5859,"poor treated authority, illegal putting cherry, available including saw",Surprise
5860,,
5861,,
5862,,
5863,,
5864,"enough shown attempt, happy ended number",Fear
5865,,
5866,,
5867,"social climbing wife, good natured showgirl, dead leaving situation, second ending cheat, several directed fritz",Fear
5868,piano playing scene,Fear
5869,last came fruition,Surprise
5870,poetic touched reaction,Sad
5871,impressive retarded brother,Surprise
5872,,
5873,,
5874,fellow take space,
5875,"bad looking woman, decent viewing figure, voluntary assisted euthanasia",
5876,,
5877,weak willed bounty,
5878,"wrong losing parent, due tampering fashion",Sad
5879,"ridiculous including possession, bad acting stay",Angry
5880,,
5881,many talented people,
5882,,
5883,believable acquired taste,Happy
5884,,
5885,force laughing fun,Happy
5886,script thought hey,Surprise
5887,,
5888,,
5889,,
5890,,
5891,,
5892,good acting scenery,
5893,,
5894,,
5895,,
5896,stop enlisting standout,
5897,,
5898,brian blessed benevolent,Happy
5899,,
5900,fortune playing football,Fear
5901,worth mentioning soundtrack,
5902,"great going hipper, maniacal working solitude",Fear
5903,,
5904,"torn settling man, degree washing selfishness",Fear
5905,spend make sense,Sad
5906,distraught disoriented woman,
5907,,
5908,,
5909,,
5910,,
5911,,
5912,,
5913,,
5914,gush groundbreaking time,
5915,,
5916,worth seeing shlock,
5917,,
5918,,
5919,,
5920,,
5921,"penchant annoying authority, awesome played smarta, bad killing ease, scenery chewing bond",Fear
5922,cold calculating villain,
5923,,
5924,short beginning innerspace,
5925,easy filled cheezy,Fear
5926,,
5927,"awful saving grace, turkey sued mention",Sad
5928,,
5929,entertaining viewing experience,
5930,,
5931,arabic spoken mr,Fear
5932,lizard wearing tyrannosaurus,
5933,u thanksgiving family,Surprise
5934,,
5935,low redeeming vault,
5936,"alive taken virus, incredible refusing kill",Surprise
5937,,
5938,"illogical involving time, tricky done right, afterthought remember name",Fear
5939,,
5940,"first betrayed lover, swedish controlled half, rich diversified way, wait holding collapse",Sad
5941,,
5942,self limiting concept,Surprise
5943,,
5944,,
5945,first materialize barbara,
5946,,
5947,,
5948,,
5949,,
5950,,
5951,,
5952,,
5953,,
5954,basic storytelling characterization,
5955,,
5956,enormous bullying reprobate,
5957,"bad lighting scene, commentary mentioned nothing",
5958,dead trapped storage,Surprise
5959,hair recommend anyone,
5960,meant setting cast,Fear
5961,good acting movie,
5962,,
5963,,
5964,,
5965,,
5966,,
5967,,
5968,,
5969,die touching story,Sad
5970,,
5971,"sure come slavery, concerned keeping connection",
5972,"dismal depressing slog, sick involving bondage, serf provide blueprint",Sad
5973,,
5974,,
5975,,
5976,worth keeping eye,
5977,,
5978,,
5979,"fruitful pairing period, arden returning home, hilarious set piece, short featuring humorist",Sad
5980,"right looking surprise, abusive womanizing jerk",Surprise
5981,,
5982,,
5983,covered bleeding death,Fear
5984,,
5985,,
5986,,
5987,ingredient found authority,Fear
5988,come educated people,
5989,,
5990,,
5991,,
5992,,
5993,,
5994,mean recommend anyone,
5995,,
5996,,
5997,,
5998,,
5999,,
6000,sure died door,Fear
6001,"new exciting people, enjoyable provoking gut",Sad
6002,,
6003,,
6004,,
6005,,
6006,,
6007,,
6008,,
6009,"stiff acting newcomer, former holed partner, fine stealing gallon",Surprise
6010,urinated trapped cage,Surprise
6011,,
6012,true supposed heroine,Fear
6013,un engaging dark,Sad
6014,"evil amazing see, queen make realize",Surprise
6015,"wonderful set enjoy, available appeared ifc",Happy
6016,,
6017,wa shivering get,
6018,precious aged sensibility,Angry
6019,unusual seeing dean,
6020,,
6021,"disappointed allowed screenplay, boleyn played spot, extra mentioned production, original based feel",Fear
6022,,
6023,script written hand,
6024,,
6025,,
6026,,
6027,,
6028,,
6029,different sounding concert,
6030,narrow minded critic,Surprise
6031,good looking woman,
6032,,
6033,,
6034,solid struggling industry,
6035,,
6036,"think meaning war, thoughtful want nothing",
6037,,
6038,"brutal turning point, son driving lesson",Surprise
6039,"wa twitch death, bay belonging countess, double crossing conclusion",Fear
6040,clear killed answer,Surprise
6041,"screen saving money, suppose diluting feel",
6042,,
6043,,
6044,,
6045,"heighten putting people, modern try hand",Sad
6046,"attractive acting skill, unstable know point, many qualm way",Surprise
6047,"obvious forwarding plot, occasional decomposing body",
6048,white looked way,
6049,huge seen thing,Surprise
6050,,
6051,,
6052,,
6053,u managed survive,Fear
6054,"open attacked camera, high priced actor",
6055,,
6056,,
6057,,
6058,,
6059,,
6060,"wrong put mask, certain feeling video",Sad
6061,alone find bar,
6062,successful lost film,Sad
6063,torn making performance,Sad
6064,,
6065,,
6066,,
6067,,
6068,,
6069,,
6070,,
6071,,
6072,,
6073,,
6074,unfunny said perfection,Surprise
6075,francisco plying trade,
6076,,
6077,,
6078,,
6079,,
6080,"spanish talking world, cry stand balcony",Fear
6081,"young portraying son, stuff done conclusion",
6082,,
6083,,
6084,underrated gripping thriller,
6085,,
6086,,
6087,lucky picked franchise,
6088,whole delivered saw,
6089,,
6090,,
6091,,
6092,,
6093,,
6094,,
6095,kei ying fan,
6096,"simplistic compared peter, hilarious sounding samwise",
6097,,
6098,,
6099,wonderful find movie,
6100,"white blown terrible, next want computer",Surprise
6101,,
6102,,
6103,understated controlled character,Fear
6104,stick going hand,Fear
6105,,
6106,,
6107,,
6108,,
6109,intro playing grandmother,Fear
6110,,
6111,understand leading man,
6112,,
6113,doe make look,Sad
6114,"famous following year, atlantic played ham, final say matter, prone overacting performance",Fear
6115,"puppy loving murderer, first hearing magazine",Happy
6116,,
6117,,
6118,quote talking scene,
6119,"unravels see casket, africa haunted memory, important chilling exploration, wish granted way",Sad
6120,great supporting cast,
6121,,
6122,,
6123,,
6124,routine boring exception,Sad
6125,,
6126,,
6127,,
6128,,
6129,,
6130,scary outing wa,Angry
6131,,
6132,"unchained start prequel, iole go mission",
6133,,
6134,uncomfortable leading man,
6135,,
6136,,
6137,,
6138,fill dave joke,Happy
6139,,
6140,,
6141,shotgun spouting clichés,
6142,,
6143,,
6144,,
6145,,
6146,,
6147,"shallow looking blond, blue eyed male",
6148,,
6149,,
6150,"teen investigating pitch, universe furthering surrealism, precious educated savage, root siring child, guilty advocating credo",Fear
6151,"smart focused jack, great acting performance",Sad
6152,,
6153,,
6154,new developed formula,Fear
6155,,
6156,,
6157,,
6158,,
6159,,
6160,,
6161,,
6162,easy say someone,Surprise
6163,routine took prisoner,Surprise
6164,,
6165,"several cliched idea, basic lighting look",
6166,,
6167,dumb make anything,Sad
6168,"many take place, similar ending see",Fear
6169,nostalgia watching movie,Surprise
6170,sumptuous set location,Fear
6171,,
6172,open minded appreciates,Happy
6173,,
6174,,
6175,gross retarded plot,
6176,tear inducing laughter,
6177,"nasalisk keeping tradition, various boring view",Sad
6178,surprised seeing dirty,Angry
6179,,
6180,decent acting performance,
6181,,
6182,cinematic televised sherlock,
6183,,
6184,,
6185,,
6186,,
6187,,
6188,,
6189,impressive tracking shot,
6190,,
6191,,
6192,,
6193,,
6194,,
6195,sure felt lot,Sad
6196,curious altered state,Sad
6197,awful think wa,Surprise
6198,,
6199,,
6200,"gorgeous directing riff, english listening mangle",Fear
6201,,
6202,,
6203,,
6204,,
6205,first think nothing,Surprise
6206,,
6207,"hilarious made fun, scary depending mood",Sad
6208,,
6209,,
6210,,
6211,,
6212,"wrong developing plot, impossible get story",Fear
6213,,
6214,,
6215,"amateur casting impress, boundary set self",Fear
6216,"defective missing scene, bizarre uninteresting way, real know child",Sad
6217,,
6218,,
6219,,
6220,sex get situation,Fear
6221,,
6222,,
6223,great acting johnson,
6224,,
6225,real set lot,Sad
6226,format remember fox,Sad
6227,"complete flawed mess, reasonable believe actor",Angry
6228,ridiculous acting poop,
6229,much altered state,Sad
6230,terrible acting cast,
6231,worth standing line,Fear
6232,,
6233,"sicko killing people, happen want watch",Surprise
6234,,
6235,pinero liking actor,
6236,,
6237,dialog end matter,Fear
6238,,
6239,,
6240,"much leave brain, non speaking slip",Fear
6241,,
6242,entire told flashback,Sad
6243,"awful stilted clichéd, forth hackneyed drivel, realise falling prey",
6244,,
6245,"great written script, personal gave year",Fear
6246,"silly looking cape, sure set find",Fear
6247,"distinct marking someone, exaggerated illustrating borderline, able sell story, clear killing self",Surprise
6248,pair dancing foot,Fear
6249,bad miss spent,Sad
6250,"geary travelled homeland, various irritating technique",Angry
6251,"main made endure, tone throwing balance, unlikely convert anyone",Sad
6252,,
6253,"good rollicking action, full blooded chop, moody setting street, usual know element",Fear
6254,,
6255,,
6256,"famous go home, uneasy labeled hero, unconvincing made roll",Sad
6257,robot see control,
6258,read listening kind,Happy
6259,historical including knowledge,
6260,bad expected minute,Happy
6261,keep changing brown,Sad
6262,,
6263,,
6264,,
6265,,
6266,,
6267,want leave anything,
6268,,
6269,christian made production,Sad
6270,,
6271,"hilarious remodeling house, rspca approve tscheko",Happy
6272,light look difficulty,Fear
6273,,
6274,,
6275,,
6276,,
6277,perfect ending embodies,Fear
6278,,
6279,,
6280,,
6281,grim drooling supine,Fear
6282,hilarious looking film,
6283,,
6284,,
6285,predictable leaving feeling,
6286,,
6287,,
6288,,
6289,,
6290,,
6291,nice underacting compliment,
6292,,
6293,,
6294,"follow surviving member, surprising filled propaganda",Fear
6295,,
6296,serious wrestling fan,
6297,oblivious happening utters,
6298,,
6299,,
6300,,
6301,mst riffing joel,
6302,,
6303,"whole make sense, dj wearing sunglass",Sad
6304,"nasty killing occur, explicit disturbing film",Surprise
6305,skeptical tuning man,
6306,,
6307,unprofessional looking film,
6308,,
6309,,
6310,,
6311,"great gave job, light acting ha",Fear
6312,,
6313,intense give everything,Sad
6314,,
6315,,
6316,young girl scene,Surprise
6317,,
6318,,
6319,interested keeping hostility,
6320,,
6321,extraterrestrial replaced copy,Fear
6322,,
6323,,
6324,ritual killing faith,Surprise
6325,uncalled thought cute,Happy
6326,,
6327,worth seeing lot,Sad
6328,,
6329,"clear eyed philosophy, shaman revealing wisdom",Surprise
6330,nice looking woman,
6331,different viewing experience,
6332,several touring company,
6333,,
6334,childish compared rest,
6335,,
6336,,
6337,,
6338,slow moving drama,
6339,useless loving score,Happy
6340,,
6341,,
6342,brutal grizzled rogue,
6343,,
6344,capable terrifying anything,
6345,,
6346,superior made crap,Surprise
6347,"difficult need cash, abandon becoming movie",
6348,,
6349,alive made island,Sad
6350,,
6351,,
6352,"woeful miscasting cate, fine leading lady",
6353,,
6354,,
6355,,
6356,,
6357,,
6358,unnecessary added detrimental,Sad
6359,overall liked film,
6360,,
6361,"critic complained action, general worked character",Fear
6362,,
6363,,
6364,"accomplish making everything, cretin holding gunpoint, detective tracking girl, terrible amusing b",Sad
6365,,
6366,,
6367,,
6368,"margaret whiting cast, frequent thrilling action, chess playing sequence",Fear
6369,,
6370,"turd floating toilet, terrible revived monstrosity",
6371,bare thinking aim,Surprise
6372,flat featured repetition,
6373,,
6374,,
6375,rent say warn,Surprise
6376,,
6377,,
6378,"mean offend anyone, necessary considering mystery",Sad
6379,,
6380,,
6381,website going make,Sad
6382,type testing phase,
6383,blue hacked body,
6384,"homosexual feeling surface, great abusing wife, remarried taking opera, real changed flick",Surprise
6385,understand get movie,
6386,"hopeless dealing memory, upbeat redeeming try",
6387,,
6388,,
6389,okorn tried tell,Sad
6390,investigate go interview,
6391,,
6392,,
6393,,
6394,,
6395,satanic killing machine,Surprise
6396,"le working shoot, magnificent acting carry",Fear
6397,,
6398,,
6399,,
6400,"real storytelling character, complex hoboken love",Happy
6401,angry go relationship,
6402,free trapped husband,Surprise
6403,,
6404,,
6405,documentary grown sound,
6406,documentary setting brings,Sad
6407,,
6408,,
6409,,
6410,intelligent caring shy,Sad
6411,,
6412,serious made shopping,Sad
6413,"serious thought level, full know prison",Surprise
6414,"artful assured direction, key making film, quick unrelenting pace, doe stirring trick",Surprise
6415,ha fallen love,Happy
6416,,
6417,rapid fired scene,
6418,"masterful framing composition, alive keeping wife, sister christina rosario, entire tinged sadness",Sad
6419,,
6420,guy pink liquid,
6421,thought think project,Surprise
6422,,
6423,,
6424,uneven wavering place,Fear
6425,"bosnian giving role, insufferable accented serbo, entire written feel",Fear
6426,,
6427,miss played maid,Fear
6428,"different exposed art, special made post",Sad
6429,laughable seeing montgomery,
6430,,
6431,"accurate warned think, funny irritating get",Angry
6432,,
6433,,
6434,,
6435,"wrong acting plot, teen gathering friend",Happy
6436,"concerned saw cinema, mixed paling insignifiance, perfect exist earth",Surprise
6437,"mythical renowned adventurer, bad depending look",Fear
6438,,
6439,,
6440,highlight cooing moment,Sad
6441,,
6442,nonexistent seen people,
6443,,
6444,,
6445,,
6446,ultimate anguished moment,Sad
6447,,
6448,,
6449,"easy coming candidate, unrelated happen sequence",Surprise
6450,,
6451,,
6452,,
6453,,
6454,"huge gambling debt, necessary viewing fan",Fear
6455,avra wing book,Fear
6456,,
6457,,
6458,,
6459,,
6460,,
6461,"underneath slinking cat, capable providing tradition",Fear
6462,able romanced person,
6463,outrageous rocking horse,
6464,lovable shaking head,Fear
6465,,
6466,,
6467,,
6468,,
6469,,
6470,,
6471,,
6472,play challenging role,Fear
6473,happy ending head,Fear
6474,,
6475,"much watching scene, obvious take bill",Surprise
6476,tie went work,Fear
6477,"cherish knocking door, picture aspiring filmmaker",
6478,"rare refined blossom, great acting session",Fear
6479,smith taking care,Surprise
6480,gradual moving comedy,
6481,,
6482,dedicated championing movie,Happy
6483,,
6484,,
6485,,
6486,prison according defense,Fear
6487,,
6488,puzzle come girl,Surprise
6489,documentary asking someone,Fear
6490,,
6491,,
6492,,
6493,,
6494,,
6495,,
6496,solid acting script,
6497,,
6498,,
6499,"similar themed killdozer, unnoticed steering wheel",
6500,horrendous directing joke,Happy
6501,clear going team,Fear
6502,,
6503,routine found comedy,
6504,,
6505,fan twilight zone,
6506,natural born killer,Sad
6507,unrealistic supposed genre,Fear
6508,original believe trash,Angry
6509,accurate revealing worklife,Surprise
6510,,
6511,obvious astonishing resource,Surprise
6512,,
6513,"lascivious feeling couple, wide eyed waif",
6514,suspect betrayed bos,
6515,wow wrote fact,
6516,poor editing terrific,Surprise
6517,,
6518,expect see cinema,
6519,"unoriginal used clichés, hard paying attention",
6520,deadite killing chainsaw,Surprise
6521,"great failing project, private thought emotion, suitable expecting see, paced consisting minute, anguish displaying tale, cynical condescending air",Happy
6522,,
6523,,
6524,,
6525,review believe diamond,
6526,human keep f,
6527,,
6528,,
6529,interesting touching pier,Sad
6530,bad believe ha,
6531,"new found level, last remaining air, sluggish monotoned delivery",
6532,dramatic said murderer,Surprise
6533,,
6534,straight acting character,Fear
6535,open minded sort,Surprise
6536,"human devastating effect, vocal viewing hollywood",Surprise
6537,,
6538,,
6539,able get thing,Surprise
6540,,
6541,,
6542,terrific wisecracking line,Fear
6543,"fanatic believe god, length characterising movie",Surprise
6544,"stabbed nailgunned everything, unknown added name, concerned left world",Sad
6545,,
6546,dry humping corpse,
6547,lull boring part,Sad
6548,"christ sake story, deliver mainland china",
6549,,
6550,,
6551,"great filmmaking passionate, true missed circumstance",Sad
6552,,
6553,light chuckle sense,
6554,useless bombing hitler,
6555,,
6556,satisfied working job,Fear
6557,white giving look,Fear
6558,"simple writing need, stupid bored tune",Sad
6559,prowess shown cast,
6560,"impressed continued research, critic noted sense, e timing attack",
6561,bus go church,Surprise
6562,,
6563,notable casting trainwreck,
